Day,ID,HeadOrder,Orderer,Script
0,0,"기하 급수적으로 늘어가는 길 고양이, 대책 필요해…",.,길가에서 자라나는 고양이들은 엄연히 야생 동물입니다. 하지만 고양이는 사람에게 친숙하면서도 보편적인 반려동물로 알려져 길고양이에 대한 골칫거리가 끊이질 않습니다. 이에 분양받은 고양이를 키우는 곳 보다 길가에서 떠도는 고양이를 데려와 키우는 가정도 늘어났다고 합니다.
1,0,도시 떠나 돈 벌러 시골로…,.,"점차 일자리가 부족해지는 도시에서 버티기 힘들어 가족들을 두고 시골로 돈을 벌러 떠나는 가장들이 늘어나고 있다고 합니다. 도시 보다는 치열함이 덜 하다는 의견이 지배적이면서도, 가족들이 없이 주로 혼자 생활하다 보니 외로움과 스트레스 또한 늘어가고 있다는 의견도 지배적이라 합니다."
1,1,행운목,농부,농장에 행운을 불러오는 행운목
2,0,딸기의 고장' **마을 농업인들 울상… 상해서 버려지는 딸기 무수히 늘어,.,"올해도 흉년입니다. 정확히는 농산물 판매량이 급감 하였습니다. 올해 수확한 딸기들이 시장에 하루 이틀, 길게는 일주일 까지 판매가 되지 않아 상해서 그대로 버려진다는 소식이 이곳 저곳에서 들려오고 있습니다. 이에 농부들은 오히려 버려질것 같은 과일들을 기부 하며 좋은 행보를 보이고 있다고 알려져 큰 감동이 되었습니다."
2,1,네잎클로버 목걸이,마담,행운이 찾아오는 목걸이
2,1,매직스트로베리 소드,오크,예쁜 검 (싱싱한 것은 안먹힌다고 함)
3,0,찾아가는 동물 보호 봉사활동 행보. 얼마나 효과 있을까?,.,최근 한 봉사 단체를 시작으로 유기되고 파양 되는 동물들에 대한 대책으로 '목걸이형 인식표'를 나눠주는 봉사활동을 시작했다고 합니다. 주로 강아지들에게는 작은 리본이 달린 목걸이를 달아주고 고양이에게는 방울이 달린 목걸이를 달아주었다고 합니다.
3,1,사탕,마트 매니저,실타래처럼 가벼운 사탕
4,0,전통방식을 고집하는 옷감 가게의 물레 소리,.,"공장이 바쁘게 돌아가며 현대인들의 옷을 무수히 제작 하고 있는 요즘에 아직도 전통 방식을 고수 하는 옷감 가게가 있습니다. 실과 실을 엮어 물레를 돌리며 매일 질 좋은 옷감을 제작하는 A씨는 ""실에는 큰 힘이 담겨져 있습니다. "" 라고 하며 앞으로도 좋은 옷감을 위해 노력 하겠다는 말을 전했습니다."
4,1,선물 상자,블랙맨,인생 처음으로 받아보는 선물
4,1,샤프란,쉐프,세상에서 제일 비싼 향신료 샤프란
4,1,유령망토,스켈레톤,눈에 띄지 않는 옷가지 (사라져 버릴 수 있으면 더 좋음)
5,0,"시골서 50대 남성 실종… ""가장으로서 압박을 못 이긴건가""",.,"어제 밤 시골에 간 남편이 5일째 연락이 닿지 않아 경찰로 실종 사건 접수가 들어왔습니다. 해당 남성은 한 가정의 성실한 가정으로 가족들을 부양하기 위해 도시에서 운영하던 공방을 정리 하고 시골에 작은 가게를 차렸다고 전해졌습니다. 해당 실종 남성의 가족들은 ""하루빨리 가족들 품으로 돌아왔으면…"" 하며 안타까운 소식을 전했습니다."
5,1,치킨 팝,마담,롤리팝 말고 치킨 팝
5,1,새총,블랙맨,콜라캔 맞추기를 하며 놀 수 있는 새총
5,1,금망치,해적,다른 해적에게 무시 당하지 않을만한 비싸보이는 무기
6,0,[ 오늘의 스포츠 ] 셔틀콕의 비밀,.,셔틀 콕은 원래 가벼운 오리깃털을 반구상의 코르크에 꽂은 것이다. 오리 깃털 셔틀 콕은 습도에 따라 무게가 변하고 치는 각도에 따라서 비행 속도와 낙하 등 다양한 변화를 안겨 주기 때문에 요즘에는 천연 깃털이 아닌 나일론이나 인조 깃털을 실로 엮어로 만들어진 셔틀콕이 인기다.
6,1,골드몬드,바이커,약혼자에게 줄 금빛 보석 (골드몬드라고 했던가)
6,1,날개,마법사,기능은 없지만 날 수 있을것 같아 보이는 날개
6,1,초경량포도,마트 매니저,대량 구매를 유도 하기 위한 깃털같은 과일
6,1,무지개 부채,여사님,반짝이는 부채 (진짜 깃털을 쓰면 혼날 것 같음)
7,0,나쁜 기억을 좋은 추억으로… 감정의 연금술인 심리치료 크게 인기,.,"스트레스와 정신적 질환로 부터 방치 되어 있는 현대인들. 작고 크지만 주변에서 받아들이는 외상 스트레스들을 긍정적인 경험으로 바꾸는 '심리치료'가 큰 인기라고 한다. 이 심리 치료는 놀라울정도로 간단한 메커니즘을 가지고 있으며, 부담스럽지 않은 가격과 과정에 예약자가 끊이지 않는다고 한다."
7,1,행운석,마법사,초록빛을 선물해주는 초록빛 구체
7,1,그린포션,마법사,초록잎을 긴 시간동안 달이고 다진 물약
7,1,막대사탕,마트 매니저,어린이 손님 취향 저격 스테디셀러 막대사탕
8,0,"[육아 매거진] ""어린아이 근력과 목표의식 기르는데 좋은 양궁, 인기 부쩍 늘어…",.,집중력과 참을성을 한번에 기르기란 너무나도 어려운 얘기 이다. 특히나 어린아이에게 가르치려면 말이다. 하지만 스포츠와 함께 엮어 어린이에게 양궁을 가르쳐 이 모든것을 충족시킬 수 있다는 얘기가 오가 학부모들 사이에서 인기다. 학원에 다니기 부담 스럽다면 막대기에 깃털을 붙혀 약식으로 놀이처럼 진행해도 좋다.
8,1,금화,해적,골목 끝 부자가 버린 금으로 만든 바라는 꽃
8,1,대파,마트 매니저,요리의 근본 재료. 예를 들면 양파나 대파 같은 것
